[General]
Name|Ashley
fc12b23d-2e02-422e-8ab2-2927bc0f40a0|Hum... Ok.
4b4deb89-eac8-41e7-93c4-fcebf4469a24|A quoi penses-tu ?
457a7deb-96b1-4915-8009-1cf1d18f5fce|Oh, euh... Excusez-moi, belle inconnue.
90f041cf-cef8-496d-999c-609da03baede|Ravi d'avoir pu t'aider !
3c73c514-2a28-4e97-bccd-9a85152b179e|J'aimerais voir ta chambre.
66a05f13-6246-4ac9-b2e6-a753fced0a91|J'aimerais un autre tour à l'étage... ainsi que du propriétaire.
17834d6a-7c38-46b4-93c9-2f13a14d8325|Je te suis.
f3fbad8f-0b16-4f33-aacb-0774d1d2b4d3|Je comprends. Je repasse te voir plus tard.
9082fbc0-fc50-4997-93a6-78f700b31282|Sympa le canap !
ecd30202-02ec-478a-904e-82a07ef6f1ef|Ok. Rejoins-moi
40b99e18-fb7c-4511-8c12-539a72b1fdac|Tu sais jouer de la guitare ?
dbc81bc2-5a34-49a2-809e-995f03831806|Quel genre de messages écris-tu sur ton tableau blanc ?
b04ab4ba-d8fe-45c2-9bf2-94d6e590b83c|Oui, toi.
e20d3f89-fcd3-4745-bdb6-2c695138f121|Et le tableau blanc ?
9fca6367-65e1-4af8-820e-ae6fdb630ca5|Je pense que tu devrais essayer de jouer quelque chose. Après qu'on ait baisé.
ebce93e4-48b4-4d2e-96f5-a7f731bbe13b|Attends, tu me fais marcher là.
0ec2008d-f48b-4594-99a4-294c8e1e53de|Ok. Et sinon, tu sais jouer de la guitare ?
23995d10-e638-4292-b6ca-3308e7bddad1|Curieusement, cette histoire m'excite un peu.
44306bc8-c9fa-4f06-ad0f-62b02c77aa11|Eh bien...
c059675c-8121-42f3-9dfb-c1a043dea2bb|Oui !
6657e233-d5bd-4b00-9c7d-0ad71393c6b9|Ouah, voilà de quoi je parle.
2f8b71c9-c772-4f24-9164-699af56b1f38|Tu n'aurais pas vu le téléphone de Patrick ?
2db67911-ff7c-4886-8a9c-5457f83d5821|Je peux voir une certaine ressemblance entre Madison et toi.
5f110e29-51b9-4cbc-923c-65721ae79b46|Tu es la soeur de Madison ? Je ne l'aurais jamais deviné. Tu es tellement plus belle qu'elle !
8a662b23-9ee6-48e3-817b-e232c2a70e5a|Tout va bien ? Tu sembles un peu préoccupée.
925642f5-363e-4d3e-ab5d-69a2fc144e09|Que puis-je faire pour t'aider après ce malencontreux "accident" ?
7f61d5f8-1f5c-44ca-aa5c-89113a02d1c5|Je pense que j'ai déjà gagné ta confiance. Laisse-moi laver ces vêtements pour toi avant que ces tâches ne puissent plus être enlevées.
995237fb-af23-4d10-ac74-aa2bfa2ea771|Ok, j'ai l'impression que nous sommes enfin seuls. Donne-moi ta robe que je puisse la mettre à laver.
176fb7dd-298f-45a4-adec-e41dd9ca2ec7|Tout va bien ? As-tu besoin de quelque chose ?
a2cf2a10-5ce2-478c-8cf2-f3ad85456de2|Ta culotte aussi a l'air d'être trempée. Veux-tu que je la mette également à laver ?
65a2df1d-8015-4ae0-a417-34e015d806ab|Si ça peut te consoler, même si tu es toute trempée, tu restes encore craquante !
c07da81b-e62e-4e60-a264-8d3f16216c08|J'ai vu Frank mater ton cul. Oh attends, en fait, c'était moi.
3f1d2c13-6201-4b13-a423-473bbafee224|Alors, que dirais-tu de remercier de t'avoir sauvé la vie avec une petite pipe ?
07f548c6-fcee-45e3-a911-f9673f82b3bc|Au fait, c'est quoi le problème entre Madison et toi ?
f497c50b-1f56-4797-b93c-94514968b1fe|Zut alors ! Si seulement je louchais, j'aurais pu te voir en double.
2b0abb98-537a-47f8-8a64-29989e4d2fec|Je suis vraiment désolé d'avoir dégrafer ton haut...
bdcf4f6c-a574-4de9-9d55-acc6125b42b8|Je suis à la recherche d'un joint. Tu n'en aurais pas un ?
5892286f-c4cb-4d76-a611-678e3311829f|Est-ce que tu veux bien signer cette pétition pour moi ?
af48e5ff-e5b6-4744-aa6e-0a611520895d|Madison a des photos d'elle dénudée dans son téléphone !
4f43a731-8827-4fe1-bb0c-df0c30d90d06|Vickie semble aimer les photos de nu.
af2e3c88-286d-4a3a-a2c1-0ed3d59853d4|Je pense que Katherine peut nous d'aider avec ces photos de nu.
1d9a0e37-dde4-4f11-8a63-ce790230741c|Patrick a un site de photos de nus que nous pourrions utiliser. Tu le savais ?
56b354dc-9cb5-4674-8e1c-1dc22a79982f|Je pense que j'ai trouvé le "partenaire" idéal pour notre farce !
8509a172-7cc3-43d2-abe8-cfcd863bfaf1|Ashley ! Alors, tu es la co-hôtesse de cette soirée ?
a3ddbbab-a026-46be-8283-f22c5fc27890|J'ai récupéré le téléphone de Madison ! C'est quoi la suite ?
2735cdd2-afcd-4201-855f-d78070a08d02|Mademoiselle, j'ai l'impression que votre sandale glisse de nouveau...
4acc488f-4f6f-4382-9f6b-ff0be586bc56|Parle-moi des invités de cette soirée, Ashley.
52152e91-c893-4e85-ba2f-e9c635a1746d|A propos de ce journal...
d20db5f4-306e-4bb9-bf97-d4f5de009bb0|Je crois que tu as oublié de mentionner quelqu'un... Que peux-tu me dire à propos de Brittney ?
57c0a749-d5d1-453c-87ec-d6e6dc282acd|Il y a une fille à l'étage qui reste dans son coin. As-tu déjà rencontré Brittney ?
dc6b203a-b95e-4612-8d71-26a4fad12377|test
bb479d5a-99c5-41c7-b18e-a5c3667c300f|A plus, Ashley !

[Quests]
417e6480-b266-4ac8-9b79-a1ddc623afc2|Violation de vie privée
417e6480-b266-4ac8-9b79-a1ddc623afc2Description|Ashley veut que vous trouviez le journal intime de Madison et que vous le lui rapportiez afin qu'elle soit sûre qu'elle puisse vous faire confiance.
86a26039-0fe0-4faf-800d-87055faaecb8|Ashley est trempée
86a26039-0fe0-4faf-800d-87055faaecb8Description|Ashley veut que vous trouviez quelque chose pour l'aider à se sécher... Et autre chose que votre langue.
5a45a833-ee53-4d63-88c5-34a5eda727bf|Changement d'avis
5a45a833-ee53-4d63-88c5-34a5eda727bfDescription|Ashley a-t-elle vraiment mérité ça ? Vous devriez peut-être l'aider à se sortir de cette situation... Ou pas. C'est vous qui voyez.
76cd3b14-9e0a-40c0-9d3c-d06c3898a023|Rédemption
76cd3b14-9e0a-40c0-9d3c-d06c3898a023Description|Pour revenir dans les bonnes grâces d'Ashley, vous allez avoir besoin de votre nouvelle compétence : discuter comme un être humain normal.
63491b66-76b0-4b8e-9b86-1ba62698f1af|Le fournisseur !
63491b66-76b0-4b8e-9b86-1ba62698f1afDescription|Vous devez trouver un joint pour Ashley. Quelqu'un à cette soirée doit bien savoir où vous pouvez en dégoter un.
054f271d-845c-4b3c-a06f-8670bc54724a|Nom de la quête
054f271d-845c-4b3c-a06f-8670bc54724aDescription|Description de la quête
eeca99ad-50cb-4494-a38b-772c0f00de2d|Précision chirurgicale
eeca99ad-50cb-4494-a38b-772c0f00de2dDescription|Vous possédez maintenant des photos de nu de Madison. Ashley veut que vous les utilisiez judicieusement. Parmi les invités, qui en ferait le meilleur usage ?
9df4af74-23b7-46a7-bf93-d8f7c7902331|A la recherche d'un étalon
9df4af74-23b7-46a7-bf93-d8f7c7902331Description|Madison a besoin d'un partenaire pour "danser". Trouvez cette personne.
feac773f-7c3b-4fca-84bf-0ea2fc6f8121|Signes d'affection
feac773f-7c3b-4fca-84bf-0ea2fc6f8121Description|Faites un cadeau à Ashley qu'elle ne pourrait pas refuser.
8e5d4c66-7386-4610-a5fa-94727f189e0b|Moment familial
8e5d4c66-7386-4610-a5fa-94727f189e0bDescription|Attendez qu'Ashley et Patrick aient finis de discuter. Ou débrouillez-vous pour vous débarrasser de Patrick.
bfe97eea-822d-498e-82f1-a752f40901ef|Vengeance vocale
bfe97eea-822d-498e-82f1-a752f40901efDescription|Ecoutez le message vocal sur le répondeur de Madison téléphone. Dépêchez-vous !
a86e5f53-2db2-4855-b8a1-edc36586a443|Entremetteur
a86e5f53-2db2-4855-b8a1-edc36586a443Description|Parlez à Derek à propos de Madison.
0aa125b5-71bb-4706-9a75-3cfb07f9a72a|Nom de la quête
0aa125b5-71bb-4706-9a75-3cfb07f9a72aDescription|Description de la quête
1864f73d-4b1a-49f0-8a2b-b7ccad385dad|Guerre fratricide
1864f73d-4b1a-49f0-8a2b-b7ccad385dadDescription|Aide Ashley à jouer sa meilleure farce à Madison et survis pour la raconter.
5b50dea1-ccc9-4c4f-b507-9b770b11d045|Charmez Ashley
5b50dea1-ccc9-4c4f-b507-9b770b11d045Description|Essayez de charmer Ashley en discutant simplement avec elle. Ca ne devrait pas être trop compliqué, non ?
6fcac18e-98cf-4ab8-b5d2-34833f4987d9|Ivre et désordonnée - Ashley
6fcac18e-98cf-4ab8-b5d2-34833f4987d9Description|La bière semble alimenter la rage d'Ashley envers sa soeur Madison. Plus de bière... plus de rage.
0a77fcc8-d2c8-40fc-9a01-aaedcd8417d8|Route de la rédemption
0a77fcc8-d2c8-40fc-9a01-aaedcd8417d8Description|Après avoir dégrafé le haut d'Ashley, vous avez vraiment réduit vos chances de l'aider à jouer sa farce à Madison. Mais tout n'est pas perdu ! Trouvez un moyen de revenir dans ses bonnes grâces.

[Events]
91d0def4-ccdb-4252-8965-42cb9b2100dd|Si je montre le téléphone de Madison à Ashley, je ne pourrais plus faire marche arrière. Est-ce vraiment la route que je veux prendre ?
53d0c099-2e19-4c39-83bd-4b9ec9b98302|Hum. Intéressant. Apparemment, Ashley ne s'entends pas bien avec Madison...
2aec68a3-ab30-4cf7-acb3-95cfbcfdfefc|Merde, J'aurais dû faire plus ample connaissance d'abord...
1fba95e3-2142-4d6b-99e2-1b8d2e3e4346|J'ai l'impression que ça fonctionne. Je ferais mieux de garder un oeil sur Ashley.
22bde098-98b5-48a5-8a83-46ab01b85863|Waouh. Elle est tellement heureuse qu'elle ne réalise même pas que je ne lui ai pas rendu sa culotte !
21adc4e2-e7e7-4386-8856-18cfe3f25c58|Merde, if faut vraiment que je sois plus attentif aux personnes à proximité avant d'avoir ce genre de conversation.
792af445-33b3-4f85-be37-a6cab9deb85f|Merde ! Je suppose que je ne l'intéressais pas suffisamment pour qu'elle accepte que je lui pose ce genre de chose...
f692ebd4-4330-4be1-a335-4b74942b208e|Comment ça n'a pas pu fonctionner ?
129a8234-0314-4da5-b3a0-43fc0ca35aed|Et merde, que faire ? Je suppose qu'il faut que je teigne cette chose...
96a4a9fb-3d39-4ac6-ae1f-6440c55949e4|Ashley accepte mon aide pour jouer sa farce !
0aeb3f05-2cdd-4769-838e-195260aa3f79|Je suppose que je devrais trouver un moyen de transformer ça...
85f8d72a-52e2-4c88-a43b-7b24b5b5ac86|Si je montre le téléphone de Madison à Ashley, je ne pourrais plus faire marche arrière. Est-ce vraiment la route que je veux prendre ?
fa39592b-b6ce-473a-9bb4-d4dc32f3b881|Ma sublime mentore ès-farce a dit qu'il me faut fermer la porte avant de pouvoir "atteindre" des niveaux plus élevés.
1ad1562d-efd7-4b39-a0e8-66c500ce84b7|Psst, c'est ta conscience qui te parle : si tu veux en savoir plus sur le site de Patrick, joue à "Une soirée avec Brittney" !
3349a34a-a6f6-478f-a354-bdb8e29ae6fd|Je pense qu'Ashley n'aura plus envie d'un verre pour le reste de la soirée...
e75eeeea-a688-4d72-9dfc-2a9bb984384c|Hum. Elle vient de s'enfermer dans la salle de bain. Personne ne l'a vraiment vue. J'aurais dû penser à verrouiller la porte.
dc374b3d-c42d-444f-aaed-009cfe89f455|Hum. Elle vient de s'enfermer dans la salle de bain. Personne ne l'a vraiment vue. J'aurais dû penser à verrouiller la porte.
377a7dc7-c457-4c81-82a3-c7cefdb10928|Hum. Elle vient de s'enfermer dans la salle de bain. Personne ne l'a vraiment vue. J'aurais dû penser à verrouiller la porte.
80b67e91-01b2-429f-8c79-98d1457f7dab|Et voilà. J'ai versé toute la bouteille de Clear Eyes dans le soda. Quelqu'un est sur le point de passer une très mauvaise journée.
ec687555-0b3a-432a-b13d-ebe96d900260|Ce soda a été mélangé avec Clear Eyes. Celui qui va le consommer ne se sentira pas très bien assez vite.
1d7dbb19-b072-4d11-b256-0fdc9b0e9de0|Soda trafiqué
23ac413d-edd6-497c-94bd-59b9e687978a|Hum. Elle vient de s'enfermer dans la salle de bain. Personne ne l'a vraiment vue. J'aurais dû penser à verrouiller la porte.
e1c66523-8142-45ff-af2e-949fcd63fd67|Ashley refusera de passer du bon temps avec moi alors que n'importe qui peut entrer à tout moment dans sa chambre. Je dois absolument fermer cette porte !
